OBJID;RA;DEC;NAME;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;NUFNU_3000EV;NUFNU_ERROR_3000EV;NUFNU_500EV;NUFNU_ERROR_500EV;UPPER_LIMIT_500EV;NUFNU_1500EV;NUFNU_ERROR_1500EV;UPPER_LIMIT_1500EV;NUFNU_4500EV;NUFNU_ERROR_4500EV;UPPER_LIMIT_4500EV;COUNTRATES_300_10000EV;COUNTRATES_ERROR_300_10000EV;COUNTRATES_300_1000EV;COUNTRATES_ERROR_300_1000EV;UPPER_LIMIT_300_1000EV;COUNTRATES_1000_2000EV;COUNTRATES_ERROR_1000_2000EV;UPPER_LIMIT_1000_2000EV;COUNTRATES_2000_10000EV;COUNTRATES_ERROR_2000_10000EV;UPPER_LIMIT_2000_10000EV;RUNID;SNR
62;21.2993;-0.0245653;SDSX_J012511.8-000128.4;3.16e+20;0.8;-999/-999;4555.7;2.4815e-14;1.07346e-14;1.20627e-14;-1.93385e-11;4.92764e-14;3.17169e-14;2.02062e-14;-999;4.79808e-14;3.05675e-14;-999;0.00178;0.00077;0.0004798;-0.7692;0.00196;0.00089;0.000567;-999;0.00089;0.000567;-999;1_21_0;4558.01
63;21.3476;-0.182187;SDSX_J012523.4-001055.9;3.19e+20;0.8;-999/-999;4645.7;3.15383e-14;1.18617e-14;1.13899e-14;9.4849e-15;-999;1.61133e-14;1.34183e-14;-999;7.31074e-14;3.60092e-14;-999;0.00226;0.00085;0.000452;0.0003764;-999;0.000452;0.0003764;-999;0.001356;0.0006679;-999;1_21_0;4648.36
64;21.1974;-0.0470719;SDSX_J012447.4-000249.5;3.26e+20;0.8;-999/-999;4695.5;5.0077e-14;1.53868e-14;1.29563e-14;1.04912e-14;-999;1.82462e-14;1.47747e-14;-999;1.37873e-13;4.88461e-14;-999;0.00358;0.0011;0.0005114;0.0004141;-999;0.0005114;0.0004141;-999;0.002557;0.0009059;-999;1_21_0;4698.75
65;21.4347;-0.261979;SDSX_J012544.3-001543.1;3.16e+20;0.8;-999/-999;4336.4;3.38766e-14;1.3941e-14;3.49208e-14;1.91549e-14;-999;3.70981e-14;2.37592e-14;-999;9.35895e-14;-5.38571e-11;1.23726e-13;0.00243;0.001;0.001389;0.0007619;-999;0.001041;0.0006667;-999;0.001736;-0.999;0.002295;1_21_0;4338.83
66;328.625;0.637186;SDSX_J215430.0+003813.9;5.34e+20;0.8;-999/-999;4613;6.34483e-14;1.64219e-14;1.56824e-14;1.1488e-14;-999;9.71665e-14;3.09455e-14;-999;5.75051e-14;2.97534e-14;-999;0.00425;0.0011;0.0005313;0.0003892;-999;0.002657;0.0008462;-999;0.001063;0.00055;-999;11_328_0;4616.86
67;328.614;0.644286;SDSX_J215427.4+003839.4;5.35e+20;0.8;-999/-999;4635.8;5.52521e-14;1.64263e-14;2.18581e-14;1.44027e-14;-999;8.11943e-14;3.11062e-14;-999;4.00325e-14;2.63782e-14;-999;0.0037;0.0011;0.00074;0.0004876;-999;0.00222;0.0008505;-999;0.00074;0.0004876;-999;11_328_0;4639.16
68;328.65;0.684666;SDSX_J215436.0+004104.8;5.31e+20;0.665;+0.28/-0.21;4852.1;2.00873e-13;2.9637e-14;1.06244e-13;2.76212e-14;-999;1.6278e-13;3.83489e-14;-999;2.2782e-13;5.81311e-14;-999;0.0122;0.0018;0.003728;0.0009692;-999;0.004406;0.001038;-999;0.004068;0.001038;-999;11_328_0;4858.88
69;328.617;0.63317;SDSX_J215428.1+003759.4;5.35e+20;0.8;-999/-999;4659.2;3.25539e-14;1.2693e-14;1.96782e-14;-2.50807e-11;7.08321e-14;6.6455e-14;2.82607e-14;-999;1.96538e-14;1.92318e-14;-999;0.00218;0.00085;0.0006662;-0.8491;0.002398;0.001817;0.0007727;-999;0.0003633;0.0003555;-999;11_328_0;4661.76
70;328.623;0.620381;SDSX_J215429.4+003713.4;5.34e+20;0.8;-999/-999;4588.7;6.38961e-14;1.64219e-14;2.10545e-14;1.27159e-14;-999;7.82964e-14;2.74897e-14;-999;7.71964e-14;3.32264e-14;-999;0.00428;0.0011;0.0007133;0.0004308;-999;0.002141;0.0007517;-999;0.001427;0.0006142;-999;11_328_0;4592.59
71;328.606;0.72029;SDSX_J215425.4+004313.0;5.36e+20;0.8;-999/-999;4272.8;8.79848e-14;2.09132e-14;1.58288e-14;1.24148e-14;-999;1.17492e-13;3.75666e-14;-999;1.15826e-13;4.59463e-14;-999;0.00589;0.0014;0.0005355;0.00042;-999;0.003212;0.001027;-999;0.002141;0.0008493;-999;11_328_0;4277.01
72;328.597;0.781993;SDSX_J215423.4+004655.2;5.37e+20;0.8;-999/-999;4681.2;4.75156e-14;1.4942e-14;8.55158e-15;-2.95504e-11;1.24266e-13;6.98004e-14;2.87433e-14;-999;6.88152e-14;3.36177e-14;-999;0.00318;0.001;0.0002891;-0.999;0.004201;0.001908;0.0007857;-999;0.001272;0.0006214;-999;11_328_0;4684.38
73;328.582;0.807707;SDSX_J215419.6+004827.7;5.38e+20;0.8;-999/-999;4576.2;3.46747e-14;1.36009e-14;6.24285e-15;-2.69103e-11;1.51261e-13;8.48818e-14;3.32942e-14;-999;5.01886e-14;-4.91823e-11;2.76451e-13;0.00232;0.00091;0.0002109;-0.9091;0.00511;0.00232;0.00091;-999;0.0009277;-0.9091;0.00511;11_328_0;4578.75
74;328.817;0.547731;SDSX_J215516.1+003251.8;5.11e+20;0.8;-999/-999;2409.5;1.42052e-13;4.00356e-14;1.26436e-13;5.38964e-14;-999;1.90525e-13;7.38538e-14;-999;2.07169e-13;-1.45846e-10;3.11105e-13;0.00958;0.0027;0.004354;0.001856;-999;0.005224;0.002025;-999;0.003831;-2.697;0.005753;11_328_0;2413.05
75;17.7182;-0.44832;SDSX_J011052.4-002654.0;3.09e+20;0.8;-999/-999;584.9;1.40471e-13;6.67584e-14;0;-1.19909e-10;-5.67659e-08;0;-1.70736e-10;-8.08279e-08;0;-2.58474e-10;-1.22364e-07;0.0101;0.0048;0;-4.795;-2270;0;-4.795;-2270;0;-4.795;-2270;16_17_0;587.004
76;17.7252;-1.1941;SDSX_J011054.0-011138.8;4.55e+20;0.8;-999/-999;2095.7;4.94228e-14;2.18685e-14;3.78202e-14;2.69901e-14;-999;4.91279e-14;3.50598e-14;-999;3.66431e-14;3.65999e-14;-999;0.00339;0.0015;0.001356;0.0009677;-999;0.001356;0.0009677;-999;0.0006782;0.0006774;-999;17_17_-1;2097.96
79;359.988;0.0652097;SDSX_J235957.2+000354.8;3.27e+20;0.8;-999/-999;8640.5;6.35237e-14;1.20331e-14;3.83621e-14;1.26623e-14;-999;6.48003e-14;1.94686e-14;-999;6.52983e-14;2.39355e-14;-999;0.00454;0.00086;0.001513;0.0004994;-999;0.001816;0.0005456;-999;0.001211;0.0004439;-999;5_0_0;8645.78
80;0.04835;0.0402703;SDSX_J000011.6+000225.0;2.83e+20;0.8;-999/-999;8591.7;2.88086e-14;8.54608e-15;2.92649e-14;1.15197e-14;-999;2.11953e-14;1.1714e-14;-999;1.60841e-14;1.23931e-14;-999;0.00209;0.00062;0.001194;0.00047;-999;0.0005971;0.00033;-999;0.0002985;0.00023;-999;5_0_0;8595.07
81;359.909;0.0403522;SDSX_J235938.1+000225.3;3.27e+20;0.8;-999/-999;8825.1;2.01485e-14;7.27584e-15;7.30478e-15;5.80122e-15;-999;3.08372e-14;1.43481e-14;-999;1.55346e-14;1.23371e-14;-999;0.00144;0.00052;0.0002881;0.0002288;-999;0.0008642;0.0004021;-999;0.0002881;0.0002288;-999;5_0_0;8827.87
82;359.917;-0.0519067;SDSX_J235940.1-000306.9;3.3e+20;1.966;+0.27/-0.20;9029.1;6.39374e-14;5.7087e-15;2.355e-13;2.9366e-14;-999;2.47252e-13;3.08314e-14;-999;4.22091e-14;1.38584e-14;-999;0.0168;0.0015;0.007819;0.000975;-999;0.007819;0.000975;-999;0.001165;0.0003825;-999;5_0_0;9040.3
83;0.120333;4.5e-05;SDSX_J000028.9+000000.2;2.87e+20;0.8;-999/-999;8493.7;1.93242e-14;7.45362e-15;1.72176e-14;9.44348e-15;-999;1.24299e-14;9.68822e-15;-999;1.88604e-14;1.47004e-14;-999;0.0014;0.00054;0.0007003;0.0003841;-999;0.00035;0.0002728;-999;0.00035;0.0002728;-999;5_0_0;8496.29
84;0.0946792;0.106078;SDSX_J000022.7+000621.9;2.84e+20;0.8;-999/-999;8289;2.04077e-14;7.85973e-15;1.81588e-14;-1.39668e-11;4.80523e-14;1.05083e-14;8.9924e-15;-999;6.37987e-14;2.76802e-14;-999;0.00148;0.00057;0.0007403;-0.5694;0.001959;0.000296;0.0002533;-999;0.001184;0.0005137;-999;5_0_0;8291.6
85;0.132371;0.102068;SDSX_J000031.8+000607.4;2.85e+20;0.8;-999/-999;7351.8;4.24855e-14;1.18628e-14;2.01588e-14;1.05556e-14;-999;6.56132e-14;2.33481e-14;-999;2.21252e-14;1.63541e-14;-999;0.00308;0.00086;0.0008212;0.00043;-999;0.001848;0.0006576;-999;0.0004106;0.0003035;-999;5_0_0;7355.38
86;359.876;0.145252;SDSX_J235930.3+000842.9;3.24e+20;0.8;-999/-999;8221.2;2.3483e-14;8.80614e-15;2.12495e-14;1.12901e-14;-999;1.99722e-14;1.28737e-14;-999;1.50916e-14;1.37976e-14;-999;0.00168;0.00063;0.00084;0.0004463;-999;0.0005599;0.0003609;-999;0.0002799;0.0002559;-999;5_0_0;8223.87
87;359.771;-0.00672861;SDSX_J235905.1-000024.2;3.28e+20;0.8;-999/-999;5375.1;4.95494e-14;1.67964e-14;2.56785e-14;1.63662e-14;-999;5.41387e-14;2.94426e-14;-999;5.45681e-14;3.4779e-14;-999;0.00354;0.0012;0.001012;0.000645;-999;0.001517;0.000825;-999;0.001012;0.000645;-999;5_0_0;5378.05
88;39.2371;0.726716;SDSX_J023656.9+004336.2;2.46e+20;0.8;-999/-999;7910.6;1.42873e-14;6.25922e-15;3.5718e-15;4.10757e-15;-999;1.05988e-14;8.63734e-15;-999;3.23058e-14;1.88374e-14;-999;0.00105;0.00046;0.00015;0.0001725;-999;0.0002999;0.0002444;-999;0.0005999;0.0003498;-999;8_39_0;7912.88
89;39.2308;0.613294;SDSX_J023655.4+003647.9;2.52e+20;0.8;-999/-999;7796.8;4.93623e-14;1.09088e-14;3.78972e-14;1.23764e-14;-999;4.79917e-14;1.69757e-14;-999;3.65689e-14;1.83814e-14;-999;0.00362;0.0008;0.001584;0.0005173;-999;0.001357;0.00048;-999;0.000679;0.0003413;-999;8_39_0;7801.32
90;39.3043;0.671991;SDSX_J023713.0+004019.2;2.53e+20;0.8;-999/-999;7915.6;1.82789e-14;7.36614e-15;3.2085e-14;1.29298e-14;-999;1.77734e-14;-1.90821e-11;7.83092e-14;1.35345e-14;-2.90564e-11;1.19242e-13;0.00134;0.00054;0.00134;0.00054;-999;0.0005025;-0.5395;0.002214;0.0002513;-0.5395;0.002214;8_39_0;7918.08
91;39.213;0.847731;SDSX_J023651.1+005051.8;2.38e+20;0.8;-999/-999;7915.5;6.30958e-14;1.31619e-14;3.93042e-14;1.41008e-14;-999;5.86449e-14;2.10394e-14;-999;7.156e-14;2.87263e-14;-999;0.00465;0.00097;0.001661;0.0005959;-999;0.001661;0.0005959;-999;0.001329;0.0005335;-999;8_39_0;7920.29
92;39.1378;0.527952;SDSX_J023633.1+003140.6;2.51e+20;0.8;-999/-999;7826.9;1.69024e-14;7.22443e-15;7.41325e-15;6.41637e-15;-999;2.19315e-14;1.32855e-14;-999;1.67007e-14;1.4455e-14;-999;0.00124;0.00053;0.0003101;0.0002684;-999;0.0006202;0.0003757;-999;0.0003101;0.0002684;-999;8_39_0;7829.24
93;39.1465;0.903281;SDSX_J023635.2+005411.8;2.29e+20;0.8;-999/-999;3263.4;1.03872e-13;2.84025e-14;9.02208e-14;3.5454e-14;-999;1.35468e-13;-7.39944e-11;2.23817e-13;2.06734e-13;8.124e-14;-999;0.00768;0.0021;0.00384;0.001509;-999;0.003841;-2.098;0.006346;0.00384;0.001509;-999;8_39_0;3267.06
94;39.7668;-0.735785;SDSX_J023904.0-004408.8;3.09e+20;0.8;-999/-999;7492.2;3.37964e-14;9.45744e-15;0;-1.69873e-11;8.03225e-14;6.92556e-14;2.18698e-14;-999;2.62086e-14;1.65542e-14;-999;0.00243;0.00068;0;-0.6793;0.003212;0.001945;0.0006142;-999;0.0004862;0.0003071;-999;9_39_0;7495.77
95;39.7439;-0.683212;SDSX_J023858.5-004059.6;3.09e+20;0.8;-999/-999;7597.1;2.15574e-14;7.6494e-15;6.45931e-15;5.61907e-15;-999;2.75954e-14;1.38974e-14;-999;2.78473e-14;1.68938e-14;-999;0.00155;0.00055;0.0002583;0.0002247;-999;0.000775;0.0003903;-999;0.0005166;0.0003134;-999;9_39_0;7599.92
96;39.8077;-0.832441;SDSX_J023913.9-004956.8;3.1e+20;0.8;-999/-999;7371.8;3.54756e-14;1.00166e-14;2.39374e-14;1.13017e-14;-999;2.2702e-14;1.30514e-14;-999;5.15611e-14;2.43439e-14;-999;0.00255;0.00072;0.0009565;0.0004516;-999;0.0006375;0.0003665;-999;0.0009565;0.0004516;-999;9_39_0;7375.34
97;39.8062;-0.856778;SDSX_J023913.5-005124.4;3.1e+20;0.8;-999/-999;6542.8;4.27098e-14;1.19643e-14;7.68298e-15;6.88716e-15;-999;7.6528e-14;2.65409e-14;-999;3.30983e-14;2.10179e-14;-999;0.00307;0.00086;0.000307;0.0002752;-999;0.002149;0.0007453;-999;0.000614;0.0003899;-999;9_39_0;6546.37
98;39.5841;-0.877763;SDSX_J023820.2-005239.9;3.09e+20;0.8;-999/-999;7166.4;1.76632e-14;7.78848e-15;3.17589e-15;-1.39889e-11;2.99584e-14;2.584e-14;1.44564e-14;-999;2.93405e-14;1.91201e-14;-999;0.00127;0.00056;0.000127;-0.5594;0.001198;0.0007257;0.000406;-999;0.0005443;0.0003547;-999;9_39_0;7168.67
99;316.178;1.13602;SDSX_J210442.7+010809.7;7.06e+20;0.8;-999/-999;6154.1;8.04975e-14;1.72271e-14;4.0676e-14;1.8035e-14;-999;4.56846e-14;2.02557e-14;-999;1.46079e-13;4.37586e-14;-999;0.00514;0.0011;0.001224;0.0005427;-999;0.001224;0.0005427;-999;0.002693;0.0008067;-999;18_316_1;6158.77
100;316.129;1.11795;SDSX_J210431.0+010704.6;6.99e+20;0.8;-999/-999;5784.4;6.94061e-14;1.71952e-14;1.1749e-13;3.3077e-14;-999;3.31125e-14;1.90194e-14;-999;1.26158e-13;-5.96076e-11;1.5946e-13;0.00444;0.0011;0.003552;0.001;-999;0.0008879;0.00051;-999;0.002326;-1.099;0.00294;18_316_1;5788.44
101;316.314;1.27969;SDSX_J210515.3+011646.9;7.34e+20;0.8;-999/-999;3254.3;7.46252e-14;2.52432e-14;1.60153e-13;5.41744e-14;-999;3.54211e-14;-5.98403e-11;1.16984e-13;1.34476e-13;-8.67203e-11;1.69533e-13;0.00473;0.0016;0.00473;0.0016;-999;0.0009459;-1.598;0.003124;0.002478;-1.598;0.003124;18_316_1;3257.26
102;316.347;1.13827;SDSX_J210523.3+010817.8;7.24e+20;0.8;-999/-999;6440.7;1.32025e-13;2.20304e-14;9.95932e-14;2.91515e-14;-999;1.2919e-13;3.49082e-14;-999;1.07107e-13;3.61745e-14;-999;0.00839;0.0014;0.002961;0.0008667;-999;0.003454;0.0009333;-999;0.001974;0.0006667;-999;18_316_1;6446.69
103;316.245;0.950514;SDSX_J210458.7+005701.8;6.91e+20;0.8;-999/-999;5343.4;6.03681e-14;2.02787e-14;9.54729e-14;3.66495e-14;-999;3.60471e-14;2.42177e-14;-999;4.93827e-14;-7.04461e-11;3.46536e-13;0.00387;0.0013;0.002902;0.001114;-999;0.0009675;0.00065;-999;0.0009106;-1.299;0.00639;18_316_1;5346.38
104;316.408;1.0242;SDSX_J210537.9+010127.1;7.2e+20;0.8;-999/-999;2454.3;1.5719e-13;5.65884e-14;5.59195e-14;4.83048e-14;-999;3.11538e-13;1.21131e-13;-999;1.27664e-13;-1.95105e-10;5.96816e-13;0.01;0.0036;0.001667;0.00144;-999;0.008333;0.00324;-999;0.002353;-3.596;0.011;18_316_1;2457.08
105;17.6022;-0.261675;SDSX_J011024.5-001542.0;3.09e+20;0.8;-999/-999;12627.9;1.9193e-14;5.84136e-15;1.88228e-14;7.87721e-15;-999;1.78676e-14;9.07979e-15;-999;6.76508e-15;6.87289e-15;-999;0.00138;0.00042;0.0007527;0.000315;-999;0.0005018;0.000255;-999;0.0001255;0.0001275;-999;14_17_0;12631.2
106;17.6325;-0.270333;SDSX_J011031.8-001613.2;3.08e+20;0.8;-999/-999;13185.9;1.25683e-14;4.72702e-15;1.00423e-14;5.54711e-15;-999;1.43088e-14;7.90387e-15;-999;5.41735e-15;5.98334e-15;-999;0.000904;0.00034;0.0004019;0.000222;-999;0.0004019;0.000222;-999;0.0001005;0.000111;-999;14_17_0;13188.6
107;17.5623;-0.177227;SDSX_J011015.0-001038.0;3.08e+20;0.8;-999/-999;13038.3;1.26517e-14;4.72702e-15;3.79053e-15;3.39823e-15;-999;1.62029e-14;8.58388e-15;-999;1.63545e-14;1.06622e-14;-999;0.00091;0.00034;0.0001517;0.000136;-999;0.0004551;0.0002411;-999;0.0003034;0.0001978;-999;14_17_0;13041
108;17.6062;-0.391604;SDSX_J011025.5-002329.8;3.11e+20;0.8;-999/-999;13520.6;1.48912e-14;5.01012e-15;1.33966e-14;6.35642e-15;-999;9.52345e-15;6.30385e-15;-999;1.44147e-14;9.54154e-15;-999;0.00107;0.00036;0.0005349;0.0002538;-999;0.0002674;0.000177;-999;0.0002674;0.000177;-999;14_17_0;13523.6
109;17.7056;-0.18417;SDSX_J011049.3-001103.0;3.06e+20;0.8;-999/-999;13987.7;1.93113e-14;5.69613e-15;4.33364e-15;3.58018e-15;-999;3.09063e-14;1.16748e-14;-999;1.87259e-14;1.10501e-14;-999;0.00139;0.00041;0.0001737;0.0001435;-999;0.0008683;0.000328;-999;0.0003474;0.000205;-999;14_17_0;13991.1
110;17.6223;-0.421725;SDSX_J011029.3-002518.2;3.2e+20;0.8;-999/-999;11352;1.71696e-14;6.14196e-15;5.17221e-15;4.57959e-15;-999;7.31264e-15;6.47477e-15;-999;4.42373e-14;1.95819e-14;-999;0.00123;0.00044;0.0002051;0.0001816;-999;0.0002051;0.0001816;-999;0.0008205;0.0003632;-999;14_17_0;11354.8
111;17.6668;-0.409737;SDSX_J011040.0-002435.1;3.1e+20;0.8;-999/-999;11457.7;4.84138e-14;9.46016e-15;3.91907e-14;1.16021e-14;-999;4.33742e-14;1.47501e-14;-999;3.75347e-14;1.66623e-14;-999;0.00348;0.00068;0.001566;0.0004636;-999;0.001218;0.0004142;-999;0.0006963;0.0003091;-999;14_17_0;11462.8
112;17.55;-0.132698;SDSX_J011012.0-000757.7;3.07e+20;0.8;-999/-999;12087.2;6.47647e-14;1.05625e-14;5.05852e-15;3.95243e-15;-999;7.21236e-14;1.8038e-14;-999;1.31095e-13;3.00407e-14;-999;0.00466;0.00076;0.0002026;0.0001583;-999;0.002026;0.0005067;-999;0.002432;0.0005573;-999;14_17_0;12093.3
113;17.6488;-0.130306;SDSX_J011035.7-000749.1;3.05e+20;0.8;-999/-999;13343.3;2.23613e-14;6.38894e-15;1.14678e-14;6.10286e-15;-999;3.27392e-14;1.24102e-14;-999;1.23975e-14;9.19568e-15;-999;0.00161;0.00046;0.00046;0.0002448;-999;0.0009199;0.0003487;-999;0.00023;0.0001706;-999;14_17_0;13346.8
114;17.6041;-0.123928;SDSX_J011025.0-000726.1;3.06e+20;0.8;-999/-999;13442.5;1.30733e-14;5.00148e-15;2.3477e-14;8.98164e-15;-999;1.91389e-14;-1.27996e-11;7.36084e-14;7.24456e-15;-1.93835e-11;1.11471e-13;0.000941;0.00036;0.000941;0.00036;-999;0.0005377;-0.3596;0.002068;0.0001344;-0.3596;0.002068;14_17_0;13445.1
115;17.5729;-0.432856;SDSX_J011017.5-002558.3;3.23e+20;0.8;-999/-999;10717.7;2.24965e-14;7.12623e-15;2.44226e-14;9.91617e-15;-999;1.1488e-14;8.11402e-15;-999;1.73613e-14;1.22661e-14;-999;0.00161;0.00051;0.0009662;0.0003923;-999;0.0003221;0.0002275;-999;0.000322;0.0002275;-999;14_17_0;10720.9
116;17.7495;-0.211422;SDSX_J011059.9-001241.1;3.05e+20;0.8;-999/-999;13799;1.33473e-14;5.00004e-15;2.66252e-15;2.9916e-15;-999;7.59846e-15;6.01827e-15;-999;3.45242e-14;1.58741e-14;-999;0.000961;0.00036;0.0001068;0.00012;-999;0.0002135;0.0001691;-999;0.0006405;0.0002945;-999;14_17_0;13801.7
117;17.7705;-0.274446;SDSX_J011104.9-001628.0;3.06e+20;0.8;-999/-999;12167.2;2.11174e-14;6.52971e-15;4.21389e-15;-1.17136e-11;3.12611e-14;1.35222e-14;8.25425e-15;-999;6.14494e-14;2.19547e-14;-999;0.00152;0.00047;0.0001689;-0.4695;0.001253;0.0003799;0.0002319;-999;0.00114;0.0004073;-999;14_17_0;12170.4
118;321.947;0.824808;SDSX_J212747.3+004929.3;3.83e+20;0.8;-999/-999;16163.2;3.86229e-14;7.126e-15;3.44088e-14;9.21713e-15;-999;3.11408e-14;1.00689e-14;-999;2.92561e-14;1.22669e-14;-999;0.00271;0.0005;0.001301;0.0003485;-999;0.0008669;0.0002803;-999;0.0005421;0.0002273;-999;2_322_0;16168.6
119;321.895;0.720102;SDSX_J212734.9+004312.4;3.84e+20;0.8;-999/-999;16099.9;1.96747e-14;5.41766e-15;9.96256e-15;5.19567e-15;-999;1.35225e-14;7.05227e-15;-999;3.38548e-14;1.36703e-14;-999;0.00138;0.00038;0.0003764;0.0001963;-999;0.0003764;0.0001963;-999;0.0006273;0.0002533;-999;2_322_0;16103.5
120;321.85;0.788846;SDSX_J212724.0+004719.8;3.85e+20;0.8;-999/-999;16918.9;1.76836e-14;4.99135e-15;3.28451e-15;2.91898e-15;-999;8.91423e-15;5.59071e-15;-999;4.68514e-14;1.5743e-14;-999;0.00124;0.00035;0.000124;0.0001102;-999;0.0002481;0.0001556;-999;0.0008681;0.0002917;-999;2_322_0;16922.4
121;321.98;0.692998;SDSX_J212755.3+004134.8;3.81e+20;0.8;-999/-999;15658.8;1.15368e-14;4.41533e-15;7.13043e-15;4.67703e-15;-999;1.29251e-14;7.35498e-15;-999;9.71406e-15;7.76585e-15;-999;0.00081;0.00031;0.00027;0.0001771;-999;0.0003599;0.0002048;-999;0.00018;0.0001439;-999;2_322_0;15661.4
122;321.848;0.741176;SDSX_J212723.6+004428.2;3.85e+20;0.8;-999/-999;16748;1.73984e-14;5.13396e-15;1.29235e-14;6.0684e-15;-999;8.76692e-15;5.6446e-15;-999;2.63374e-14;1.23645e-14;-999;0.00122;0.00036;0.0004879;0.0002291;-999;0.000244;0.0001571;-999;0.000488;0.0002291;-999;2_322_0;16751.4
123;322.061;0.844509;SDSX_J212814.6+005040.2;3.8e+20;0.8;-999/-999;16688;4.12902e-14;7.54614e-15;3.67335e-14;9.74282e-15;-999;2.91581e-14;1.00509e-14;-999;3.75495e-14;1.41391e-14;-999;0.0029;0.00053;0.001392;0.0003692;-999;0.000812;0.0002799;-999;0.0006958;0.000262;-999;2_322_0;16693.5
124;322.028;0.693847;SDSX_J212806.8+004137.9;3.8e+20;0.8;-999/-999;16971.6;4.48497e-14;7.8309e-15;3.65752e-14;9.61879e-15;-999;5.42944e-14;1.37783e-14;-999;1.35994e-14;8.28378e-15;-999;0.00315;0.00055;0.001386;0.0003645;-999;0.001512;0.0003837;-999;0.000252;0.0001535;-999;2_322_0;16977.3
125;321.859;0.89797;SDSX_J212726.1+005352.7;3.86e+20;0.8;-999/-999;16662.6;2.63921e-14;6.13438e-15;7.74269e-15;4.58836e-15;-999;4.19709e-14;1.22391e-14;-999;2.10217e-14;1.05513e-14;-999;0.00185;0.00043;0.0002921;0.0001731;-999;0.001168;0.0003406;-999;0.0003895;0.0001955;-999;2_322_0;16666.9
126;322.045;0.908585;SDSX_J212810.9+005430.9;3.8e+20;0.8;-999/-999;16824.4;1.80823e-14;5.26806e-15;6.70281e-15;4.35946e-15;-999;2.28022e-14;9.49075e-15;-999;2.0561e-14;1.10522e-14;-999;0.00127;0.00037;0.000254;0.0001652;-999;0.000635;0.0002643;-999;0.000381;0.0002048;-999;2_322_0;16827.8
127;321.919;0.950468;SDSX_J212740.6+005701.7;3.86e+20;0.8;-999/-999;15966.4;3.5665e-14;7.41832e-15;2.89987e-14;9.12901e-15;-999;3.36809e-14;1.14055e-14;-999;2.53016e-14;1.20301e-14;-999;0.0025;0.00052;0.001094;0.0003444;-999;0.0009373;0.0003174;-999;0.0004688;0.0002229;-999;2_322_0;15971.2
128;321.912;0.638897;SDSX_J212738.9+003820.0;3.83e+20;0.8;-999/-999;12140;1.59622e-14;6.27088e-15;3.29013e-15;3.87992e-15;-999;3.12988e-14;1.3909e-14;-999;6.71362e-15;7.91711e-15;-999;0.00112;0.00044;0.0001244;0.0001467;-999;0.0008713;0.0003872;-999;0.0001244;0.0001467;-999;2_322_0;12142.5
129;321.973;0.617637;SDSX_J212753.5+003703.5;3.81e+20;0.8;-999/-999;12792.2;2.89133e-14;7.83365e-15;1.19131e-14;6.77919e-15;-999;4.05099e-14;1.47495e-14;-999;2.43445e-14;1.38533e-14;-999;0.00203;0.00055;0.0004511;0.0002567;-999;0.001128;0.0004107;-999;0.0004511;0.0002567;-999;2_322_0;12795.9
130;321.89;0.968199;SDSX_J212733.6+005805.5;3.87e+20;0.8;-999/-999;9955;2.66849e-14;8.8474e-15;3.85703e-14;1.45421e-14;-999;7.46812e-15;7.50406e-15;-999;1.12154e-14;1.12694e-14;-999;0.00187;0.00062;0.001454;0.0005482;-999;0.0002078;0.0002088;-999;0.0002078;0.0002088;-999;2_322_0;9958.02
131;338.899;-0.362799;SDSX_J223535.8-002146.1;4.7e+20;0.8;-999/-999;7384;1.77217e-14;7.323e-15;6.82343e-15;6.26515e-15;-999;3.51253e-14;1.61291e-14;-999;0;-2.6994e-11;8.64672e-14;0.00121;0.0005;0.000242;0.0002222;-999;0.0009678;0.0004444;-999;0;-0.4995;0.0016;24_338_0;7386.42
132;338.854;-0.424071;SDSX_J223525.0-002526.7;4.65e+20;0.8;-999/-999;7497.6;1.78413e-14;7.312e-15;1.46847e-14;9.16988e-15;-999;1.26411e-14;9.57244e-15;-999;1.88322e-14;1.42606e-14;-999;0.00122;0.0005;0.0005227;0.0003264;-999;0.0003485;0.0002639;-999;0.0003485;0.0002639;-999;24_338_0;7500.04
133;338.851;-0.453797;SDSX_J223524.2-002713.7;4.63e+20;0.8;-999/-999;7702.7;2.41147e-14;8.33055e-15;1.32214e-14;8.56178e-15;-999;1.70912e-14;1.10678e-14;-999;3.82143e-14;2.02203e-14;-999;0.00165;0.00057;0.0004713;0.0003052;-999;0.0004713;0.0003052;-999;0.0007072;0.0003742;-999;24_338_0;7705.59
134;339.043;-0.555218;SDSX_J223610.4-003318.8;4.58e+20;0.8;-999/-999;7290.9;3.75014e-14;1.16736e-14;1.0264e-14;8.19832e-15;-999;5.32395e-14;2.12632e-14;-999;3.96811e-14;2.23314e-14;-999;0.00257;0.0008;0.0003672;0.0002933;-999;0.001469;0.0005867;-999;0.0007344;0.0004133;-999;24_338_0;7294.11
135;339.14;-0.565337;SDSX_J223633.7-003355.2;4.59e+20;1.893;+0.20/-0.16;2738.2;7.13606e-13;5.03184e-14;1.99724e-12;2.31825e-13;-999;2.71824e-12;2.64686e-13;-999;4.86395e-13;1.20027e-13;-999;0.156;0.011;0.05923;0.006875;-999;0.08378;0.008158;-999;0.013;0.003208;-999;24_338_0;2752.38
