OBJID;RA;DEC;NAME;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;NUFNU_3000EV;NUFNU_ERROR_3000EV;NUFNU_500EV;NUFNU_ERROR_500EV;UPPER_LIMIT_500EV;NUFNU_1500EV;NUFNU_ERROR_1500EV;UPPER_LIMIT_1500EV;NUFNU_4500EV;NUFNU_ERROR_4500EV;UPPER_LIMIT_4500EV;COUNTRATES_300_10000EV;COUNTRATES_ERROR_300_10000EV;COUNTRATES_300_1000EV;COUNTRATES_ERROR_300_1000EV;UPPER_LIMIT_300_1000EV;COUNTRATES_1000_2000EV;COUNTRATES_ERROR_1000_2000EV;UPPER_LIMIT_1000_2000EV;COUNTRATES_2000_10000EV;COUNTRATES_ERROR_2000_10000EV;UPPER_LIMIT_2000_10000EV;RUNID;SNR
12;137.095;-21.4522;SDSX_J090822.8-212708.1;1.07e+21;0.8;-999/-999;3949.4;4.75297e-14;1.88067e-14;1.16521e-13;4.61054e-14;-999;4.64296e-14;-4.28071e-11;2.38341e-13;1.30005e-13;-5.99559e-11;3.33822e-13;0.00278;0.0011;0.00278;0.0011;-999;0.001192;-1.099;0.006119;0.002383;-1.099;0.006119;137_24442_m21_31517_15;3951.93
13;137.283;-21.5062;SDSX_J090907.9-213022.2;1.06e+21;0.8;-999/-999;3952.9;6.17536e-14;2.04708e-14;5.0242e-14;2.74956e-14;-999;6.03821e-14;-4.66483e-11;1.55196e-13;1.31674e-13;5.23642e-14;-999;0.00362;0.0012;0.001206;0.00066;-999;0.001552;-1.199;0.003989;0.002414;0.00096;-999;137_24442_m21_31517_15;3955.92
14;137.398;-21.2322;SDSX_J090935.5-211355.9;1.05e+21;0.8;-999/-999;3949.5;4.93638e-14;1.87242e-14;4.0016e-14;-4.55019e-11;1.58615e-13;6.76553e-14;3.32486e-14;-999;6.32641e-14;3.66604e-14;-999;0.0029;0.0011;0.0009665;-1.099;0.003831;0.001741;0.0008556;-999;0.00116;0.0006722;-999;137_24442_m21_31517_15;3952.14
15;137.099;-21.1937;SDSX_J090823.6-211137.3;1.06e+21;0.8;-999/-999;3954;1.74002e-13;3.58239e-14;1.63474e-13;5.4283e-14;-999;1.83208e-13;5.63359e-14;-999;8.55827e-14;4.74005e-14;-999;0.0102;0.0021;0.003924;0.001303;-999;0.004709;0.001448;-999;0.001569;0.000869;-999;137_24442_m21_31517_15;3958.86
16;146.627;10.8675;SDSX_J094630.6+105203.1;2.5e+20;1.289;+0.25/-0.19;1966;3.91667e-13;4.38937e-14;5.47138e-13;9.16047e-14;-999;6.05944e-13;1.08482e-13;-999;3.43391e-13;9.55336e-14;-999;0.0464;0.0052;0.02109;0.003531;-999;0.01793;0.00321;-999;0.007383;0.002054;-999;146_62771_10_8675_15;1974.92
17;146.638;10.9989;SDSX_J094633.1+105955.9;2.51e+20;0.8;-999/-999;1787.4;6.58377e-14;2.7262e-14;1.15466e-13;4.7812e-14;-999;6.59855e-14;-7.06533e-11;3.75191e-13;4.13883e-14;-1.07604e-10;5.71412e-13;0.00483;0.002;0.00483;0.002;-999;0.001866;-1.998;0.01061;0.0007685;-1.998;0.01061;146_62771_10_8675_15;1789.81
18;17.5584;-1.31358;SDSX_J011014.0-011848.9;4.98e+20;0.8;-999/-999;3510.3;5.24335e-14;1.7724e-14;1.70203e-14;1.38096e-14;-999;6.46366e-14;3.05886e-14;-999;6.40141e-14;3.56836e-14;-999;0.00355;0.0012;0.0005916;0.00048;-999;0.001775;0.00084;-999;0.001184;0.00066;-999;17_636_m1_3215_12;3513.26
19;17.6952;-1.31295;SDSX_J011046.8-011846.6;4.96e+20;0.8;-999/-999;3574.7;4.13336e-14;1.62382e-14;1.60854e-14;1.40456e-14;-999;2.03837e-14;1.77989e-14;-999;9.08292e-14;4.6258e-14;-999;0.0028;0.0011;0.0005599;0.0004889;-999;0.0005599;0.0004889;-999;0.00168;0.0008556;-999;17_636_m1_3215_12;3577.25
20;17.7137;-1.27871;SDSX_J011051.3-011643.4;4.94e+20;0.8;-999/-999;3437;4.1751e-14;1.62283e-14;1.62345e-14;-3.15281e-11;1.34174e-13;7.72344e-14;3.2972e-14;-999;3.82442e-14;2.90372e-14;-999;0.00283;0.0011;0.0005659;-1.099;0.004677;0.002122;0.0009059;-999;0.0007074;0.0005371;-999;17_636_m1_3215_12;3439.57
153;17.5048;-1.50159;SDSX_J011001.2-013005.7;5.01e+20;0.8;-999/-999;2061.2;1.7593e-13;4.28736e-14;7.62606e-14;3.92404e-14;-999;2.8902e-13;8.62251e-14;-999;7.14792e-14;5.11979e-14;-999;0.0119;0.0029;0.002645;0.001361;-999;0.007934;0.002367;-999;0.001322;0.0009469;-999;32_17_-1;2065.3
77;17.7654;-1.23552;SDSX_J011103.7-011407.9;4.91e+20;0.8;-999/-999;2042.5;5.73347e-14;2.65302e-14;4.45421e-14;-5.14695e-11;1.22691e-13;9.43437e-14;5.30843e-14;-999;7.01158e-14;5.52493e-14;-999;0.00389;0.0018;0.001556;-1.798;0.004286;0.002593;0.001459;-999;0.001297;0.001022;-999;17_17_-1;2044.66
